;GO:0006281;GO:0032570;GO:0044314;GO:0002244;GO:0050796;GO:0000187;GO:0031915;GO:0000060;GO:0034501;GO:0030263;GO:2000373;GO:0065003;GO:0030261;GO:0007265;GO:0006974;GO:0060236;GO:0046078;GO:0000070;GO:0031100;GO:0032436;GO:0071922;GO:0045429;GO:0090312;GO:1903543;GO:0006260;GO:0006266;GO:0038095;GO:0097191;GO:0000712;GO:0045666;GO:0006265;GO:0033081;GO:0006268;GO:0045672;GO:0000281;GO:0019221;GO:0010634;GO:0031334;GO:0006270;GO:0070979;GO:0038083;GO:0048704;GO:0051310;GO:0033189;GO:0051315;GO:0007050;GO:1905463;GO:1905342;GO:0007052;GO:0036297;GO:0007057;GO:0043547;GO:0060326;GO:0045602;GO:0051044;GO:0035519;GO:0035999;GO:0051607;GO:0016572;GO:0010216;GO:0019722;GO:0060550;GO:0006094;GO:0060552;GO:0007186;GO:0007064;GO:0060559;GO:0030855;GO:0030857;GO:0051056;GO:0031145;GO:0030177;GO:0010469;GO:0090308;GO:0090307;GO:0016567;GO:0046718;GO:0045740;GO:0044774;GO:0050773;GO:0071230;GO:0000086;GO:0006977;GO:0045870;GO:0000083;GO:0000082;GO:0032465;GO:0051865;GO:0060574;GO:0060333;GO:0070936;GO:1903078;GO:0006750;GO:0045995;GO:0007169;GO:0006751;GO:0007166;GO:0060334;GO:0006513;GO:0046602;GO:0034080;GO:0006511;GO:0045085;GO:0045087;GO:0097711;GO:0048596;GO:0071902;GO:0035722;GO:0007094;GO:0007095;GO:0014066;GO:0007098;GO:0033141;GO:0015031;GO:0042531;GO:0015949;GO:0019088;GO:0045132;GO:0071897;GO:0019886;GO:0007091;GO:0035556;GO:0010390;GO:0014075;GO:0008631;GO:0051382;GO:0000226;GO:0009967;GO:0032834;GO:0001556;GO:0070317;GO:0032270;GO:0007076;GO:1902850;GO:0007077;GO:0008285;GO:0008284;GO:0051150;GO:1905448;GO:0045944;GO:0006302;GO:0051383;GO:0051384;GO:0048662;GO:0019860;GO:0032700;GO:0050852;GO:0014038;GO:0016579;GO:0031295;GO:0007088;GO:0000209;GO:0090166;GO:0040020;GO:0009263;GO:0061621;GO:0045835;GO:0045954;GO:2000309;GO:0050868;GO:0051712;GO:0007080;GO:0085020;GO:0000819;GO:0018108;GO:0034393;GO:0060045;GO:0046777;GO:0042177;GO:0051445;GO:0017148;GO:0010971;GO:0090267;GO:0007344;GO:1904668;GO:0007100;GO:0046785;GO:1904667;GO:0010508;GO:0010628;GO:0055015;GO:0017015;GO:0018105;GO:0018107;GO:0033160;GO:1904798;GO:0000122;GO:0045471;GO:0031536;GO:0097421;GO:0032747;GO:0010835;GO:0070301;GO:0090129;GO:0006351;GO:0006355;GO:0006231;GO:0007569;GO:0006235;GO:0007204;GO:0006357;GO:0000132;GO:0032735;GO:0001578;GO:0048752;GO:0070098;GO:0043066;GO:0043065;GO:0051593;GO:0070534
GO:2000373;0.0;0.0;0.0;0.0;0.3356143810225276;0.43852901558847923;0.4;0.0;0.0;0.0;1.0;0.0;0.0;0.43852901558847923;0.0;0.3356143810225276;0.0;0.0;0.0;0.23852901558847928;0.43852901558847923;0.3081136762725405;0.2830074998557688;0.3660149997115376;0.0;0.0;0.43852901558847923;0.43852901558847923;0.0;0.43852901558847923;0.0;0.2830074998557688;0.0;0.2830074998557688;0.0;0.43852901558847923;0.3660149997115376;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.2830074998557688;0.3660149997115376;0.0;0.0;0.0;0.6830074998557688;0.0;0.3081136762725405;0.3081136762725405;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.6000000000000001;0.0;0.2830074998557688;0.43852901558847923;0.0;0.5356143810225276;0.0;0.3356143810225276;0.3356143810225276;0.0;0.3356143810225276;0.5356143810225276;0.3356143810225276;0.0;0.0;0.0;0.3081136762725405;0.43852901558847923;0.43852901558847923;0.0;0.0;0.48300749985576874;0.2830074998557688;0.43852901558847923;0.0;0.3660149997115376;0.0;0.0;0.43852901558847923;0.0;0.3356143810225276;0.0;0.3660149997115376;0.43852901558847923;0.0;0.43852901558847923;0.3356143810225276;0.0;0.3081136762725405;0.0;0.0;0.3081136762725405;0.0;0.0;0.0;0.48300749985576874;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.3356143810225276;0.0;0.2599120563717816;0.0;0.2599120563717816;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.43852901558847923;0.0;0.0;0.43852901558847923;0.0;0.0;0.3660149997115376;0.3356143810225276;0.0;0.3081136762725405;0.3356143810225276;0.0;0.0;0.0;0.3660149997115376;0.3660149997115376;0.3356143810225276;0.3081136762725405;0.2830074998557688;0.0;0.0;0.0;0.3356143810225276;0.0;0.3356143810225276;0.43852901558847923;0.43852901558847923;0.0;0.3660149997115376;0.3356143810225276;0.0;0.0;0.3660149997115376;0.0;0.0;0.3356143810225276;0.3356143810225276;0.3081136762725405;0.3081136762725405;0.3660149997115376;0.0;0.0;0.0;0.0;0.2599120563717816;0.3356143810225276;0.0;0.3356143810225276;0.4;0.3081136762725405;0.2830074998557688;0.3081136762725405;0.0;0.5356143810225276;0.0;0.0;0.43852901558847923;0.3081136762725405;0.3356143810225276;0.0;0.3356143810225276;0.0;0.0;0.3081136762725405;0.43852901558847923;0.2830074998557688;0.0;0.2830074998557688;0.0;0.3356143810225276;0.3081136762725405;0.0;0.48300749985576874;0.0;0.3356143810225276;0.0;0.0;0.0;0.21862188087829626;0.3081136762725405;0.0;0.3356143810225276;0.0;0.0;0.43852901558847923;0.3081136762725405;0.3081136762725405;0.0;0.0
GO:0065003;0.48300749985576874;0.0;0.3081136762725405;0.8;0.0;0.0;0.0;0.0;0.0;0.8;0.0;1.0;0.43852901558847923;0.8;0.5356143810225276;0.0;0.3660149997115376;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.48300749985576874;0.8;0.8;0.8;0.0;0.48300749985576874;0.0;0.8;0.0;0.8;0.8;0.0;0.0;0.8;0.3081136762725405;0.3660149997115376;0.0;0.0;0.0;0.8;0.8;0.0;0.0;0.8;0.43852901558847923;0.8;0.0;0.8;0.0;0.0;0.3081136762725405;0.5356143810225276;0.0;0.8;0.48300749985576874;0.8;0.0;0.0;0.0;0.8;0.8;0.0;0.8;0.0;0.0;0.8;0.0;0.0;0.0;0.8;0.3660149997115376;0.0;0.0;0.8;0.0;0.48300749985576874;0.8;0.8;0.0;0.8;0.8;0.0;0.3356143810225276;0.8;0.8;0.3081136762725405;0.0;0.48300749985576874;0.0;0.8;0.48300749985576874;0.8;0.0;0.3356143810225276;0.0;1.0;0.8;0.0;0.0;0.8;0.0;0.0;0.8;0.8;0.8;0.0;0.8;0.0;0.0;0.0;0.5356143810225276;0.0;0.8;0.48300749985576874;0.0;0.8;0.8;0.8;0.0;0.8;1.0;0.6000000000000001;0.0;0.0;0.8;0.0;0.0;0.8;0.8;0.8;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.8;0.0;0.0;0.5356143810225276;0.0;0.8;0.0;0.43852901558847923;0.0;0.0;0.3356143810225276;0.8;0.0;0.48300749985576874;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.8;0.3081136762725405;0.8;0.4;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.8;0.8;0.0;0.0;0.0;0.8;0.0;0.4;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.8;0.0;0.3356143810225276;0.6000000000000001;0.3356143810225276;0.3356143810225276;0.0;0.8;0.0;0.5356143810225276;0.0;0.8;0.0;0.0;0.0;0.3081136762725405
GO:0030261;0.3356143810225276;0.0;0.21862188087829626;0.4;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.43852901558847923;1.0;0.43852901558847923;0.3660149997115376;0.0;0.23852901558847928;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.3356143810225276;0.3356143810225276;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.0;0.6830074998557688;0.0;0.5356143810225276;0.0;0.43852901558847923;0.43852901558847923;0.0;0.0;0.43852901558847923;0.21862188087829626;0.2599120563717816;0.0;0.0;0.0;0.43852901558847923;0.43852901558847923;0.0;0.0;0.43852901558847923;0.3081136762725405;0.5356143810225276;0.0;0.43852901558847923;0.0;0.0;0.21862188087829626;0.3660149997115376;0.0;0.48300749985576874;0.3356143810225276;0.43852901558847923;0.0;0.0;0.0;0.43852901558847923;0.6000000000000001;0.0;0.4;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.5356143810225276;0.2599120563717816;0.0;0.0;0.43852901558847923;0.0;0.3356143810225276;0.43852901558847923;0.43852901558847923;0.0;0.43852901558847923;0.43852901558847923;0.0;0.23852901558847928;0.43852901558847923;0.43852901558847923;0.21862188087829626;0.0;0.3356143810225276;0.0;0.43852901558847923;0.3356143810225276;0.43852901558847923;0.0;0.23852901558847928;0.0;0.48300749985576874;0.43852901558847923;0.0;0.0;0.43852901558847923;0.0;0.0;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.0;0.48300749985576874;0.0;0.0;0.0;0.3081136762725405;0.0;0.43852901558847923;0.3356143810225276;0.0;0.43852901558847923;0.43852901558847923;0.48300749985576874;0.0;0.43852901558847923;0.6000000000000001;0.48300749985576874;0.0;0.0;0.43852901558847923;0.0;0.0;1.0;0.43852901558847923;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.3081136762725405;0.6000000000000001;0.0;0.0;0.3660149997115376;0.0;0.43852901558847923;0.0;0.2599120563717816;0.0;0.0;0.23852901558847928;0.5356143810225276;0.0;0.2830074998557688;0.23852901558847928;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.21862188087829626;0.6000000000000001;0.2830074998557688;0.0;0.0;0.2830074998557688;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.43852901558847923;0.43852901558847923;0.0;0.0;0.0;0.43852901558847923;0.0;0.2830074998557688;0.2830074998557688;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3356143810225276;0.0;0.4;0.0;0.21862188087829626;0.4;0.21862188087829626;0.23852901558847928;0.0;0.43852901558847923;0.0;0.43852901558847923;0.0;0.43852901558847923;0.0;0.0;0.0;0.21862188087829626
GO:0007265;0.5356143810225276;0.0;0.3356143810225276;0.8;0.43852901558847923;0.3356143810225276;0.5356143810225276;0.0;0.0;0.8;0.43852901558847923;0.8;0.43852901558847923;1.0;0.6000000000000001;0.43852901558847923;0.3660149997115376;0.8;0.0;0.3081136762725405;0.48300749985576874;0.4;0.3660149997115376;0.48300749985576874;0.5356143810225276;0.5356143810225276;0.8;0.8;0.8;0.8;0.48300749985576874;0.3660149997115376;0.8;0.3660149997115376;0.8;0.8;0.48300749985576874;0.48300749985576874;0.8;0.3356143810225276;0.4;0.0;0.0;0.0;0.8;0.8;0.3660149997115376;0.48300749985576874;0.8;0.48300749985576874;0.8;0.43852901558847923;0.8;0.4;0.4;0.3356143810225276;0.6000000000000001;0.0;0.8;0.5356143810225276;0.8;0.4;0.0;0.3660149997115376;0.8;0.8;0.4;0.8;0.43852901558847923;0.43852901558847923;0.8;0.43852901558847923;0.6000000000000001;0.43852901558847923;0.8;0.4;0.0;0.4;0.8;0.8;0.5356143810225276;0.8;0.8;0.3660149997115376;0.8;0.8;0.48300749985576874;0.3660149997115376;0.8;0.8;0.3356143810225276;0.43852901558847923;0.5356143810225276;0.48300749985576874;0.8;0.5356143810225276;0.8;0.43852901558847923;0.3660149997115376;0.4;0.8;0.8;0.4;0.0;0.8;0.0;0.3660149997115376;0.8;0.8;0.8;0.43852901558847923;0.8;0.3356143810225276;0.0;0.3356143810225276;0.5356143810225276;0.0;0.8;0.5356143810225276;0.0;0.8;0.8;0.8;0.0;0.8;0.8;0.6830074998557688;0.48300749985576874;0.43852901558847923;0.8;0.4;0.43852901558847923;0.8;0.8;0.8;0.48300749985576874;0.48300749985576874;0.43852901558847923;0.4;0.3660149997115376;0.48300749985576874;0.6000000000000001;0.0;0.43852901558847923;0.6000000000000001;0.43852901558847923;0.8;0.8;0.43852901558847923;0.6000000000000001;0.43852901558847923;0.3660149997115376;0.8;0.48300749985576874;0.48300749985576874;0.3660149997115376;0.43852901558847923;0.43852901558847923;0.4;0.4;0.48300749985576874;0.8;0.3356143810225276;0.8;0.43852901558847923;0.3356143810225276;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.5356143810225276;0.4;0.3660149997115376;0.4;0.8;0.4;0.8;0.8;0.4;0.4;0.43852901558847923;0.8;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.4;0.4;0.3660149997115376;0.0;0.3660149997115376;0.0;0.43852901558847923;0.4;0.5356143810225276;0.8;0.8;0.43852901558847923;0.3356143810225276;0.6830074998557688;0.3356143810225276;0.3660149997115376;0.4;0.8;0.43852901558847923;0.6000000000000001;0.0;0.8;0.4;0.4;0.0;0.3356143810225276
GO:0006974;1.0;0.48300749985576874;0.2830074998557688;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.5356143810225276;0.3660149997115376;0.6000000000000001;1.0;0.0;0.3081136762725405;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.43852901558847923;0.6000000000000001;0.6000000000000001;0.6000000000000001;0.0;0.4;0.0;0.6000000000000001;0.0;0.6000000000000001;0.6000000000000001;0.0;0.0;0.6000000000000001;0.2830074998557688;0.3356143810225276;0.0;0.0;0.43852901558847923;0.6000000000000001;0.6000000000000001;0.0;0.0;0.6000000000000001;0.8;0.6000000000000001;0.0;0.6000000000000001;0.0;0.0;0.2830074998557688;0.48300749985576874;0.5356143810225276;0.6000000000000001;0.43852901558847923;0.6000000000000001;0.0;0.0;0.0;0.6000000000000001;0.6000000000000001;0.0;0.5356143810225276;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.6000000000000001;0.3356143810225276;0.0;0.0;0.6000000000000001;0.0;0.5356143810225276;0.6000000000000001;1.0;0.0;0.6000000000000001;0.6000000000000001;0.0;0.3081136762725405;0.6000000000000001;0.6000000000000001;0.2830074998557688;0.0;0.43852901558847923;0.0;0.6000000000000001;0.43852901558847923;0.6000000000000001;0.0;0.3081136762725405;0.0;0.6000000000000001;0.6000000000000001;0.0;0.6000000000000001;0.6000000000000001;0.0;0.0;0.6000000000000001;0.6000000000000001;0.6830074998557688;0.0;0.6000000000000001;0.0;0.0;0.0;0.4;0.0;0.6000000000000001;0.43852901558847923;0.0;0.6000000000000001;0.6000000000000001;0.6000000000000001;0.43852901558847923;0.6000000000000001;0.6000000000000001;0.5356143810225276;0.0;0.0;0.6000000000000001;0.0;0.0;0.6000000000000001;0.6000000000000001;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.8;0.48300749985576874;0.4;0.0;0.48300749985576874;0.0;0.6000000000000001;0.0;0.3356143810225276;0.0;0.0;0.3081136762725405;0.6000000000000001;0.0;0.3660149997115376;0.3081136762725405;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.2830074998557688;0.6000000000000001;0.3660149997115376;0.0;0.0;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.6000000000000001;0.5356143810225276;0.0;0.0;0.0;0.6000000000000001;0.0;0.3660149997115376;0.3660149997115376;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.5356143810225276;0.0;0.2830074998557688;0.5356143810225276;0.2830074998557688;0.3081136762725405;0.0;0.6000000000000001;0.0;0.48300749985576874;0.0;0.6000000000000001;0.0;0.0;0.48300749985576874;0.2830074998557688
GO:0060236;0.0;0.0;0.0;0.0;0.48300749985576874;0.3081136762725405;0.4;0.0;0.0;0.0;0.3356143810225276;0.0;0.0;0.43852901558847923;0.0;1.0;0.0;0.0;0.0;0.3356143810225276;0.5356143810225276;0.43852901558847923;0.4;0.43852901558847923;0.0;0.0;0.43852901558847923;0.48300749985576874;0.0;0.43852901558847923;0.0;0.4;0.0;0.4;0.0;0.48300749985576874;0.43852901558847923;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.43852901558847923;0.43852901558847923;0.0;0.0;0.0;0.3356143810225276;0.0;0.43852901558847923;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.3356143810225276;0.0;0.4;0.5356143810225276;0.0;0.4;0.0;0.48300749985576874;0.43852901558847923;0.0;0.43852901558847923;0.48300749985576874;0.43852901558847923;0.0;0.0;0.0;0.43852901558847923;0.6000000000000001;0.43852901558847923;0.0;0.0;0.8;0.3356143810225276;0.43852901558847923;0.0;0.6830074998557688;0.0;0.0;0.43852901558847923;0.0;0.4;0.0;0.43852901558847923;0.43852901558847923;0.0;0.5356143810225276;0.43852901558847923;0.0;0.6830074998557688;0.0;0.0;0.4;0.0;0.0;0.0;0.3081136762725405;0.43852901558847923;0.5356143810225276;0.48300749985576874;0.43852901558847923;0.0;0.3356143810225276;0.0;0.3356143810225276;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.5356143810225276;0.0;0.0;0.43852901558847923;0.0;0.0;0.48300749985576874;0.4;0.0;0.6000000000000001;0.48300749985576874;0.0;0.0;0.0;0.5356143810225276;0.5356143810225276;0.48300749985576874;0.43852901558847923;0.3660149997115376;0.0;0.0;0.0;0.48300749985576874;0.0;0.4;0.43852901558847923;0.43852901558847923;0.0;0.3660149997115376;0.8;0.0;0.0;0.6830074998557688;0.0;0.0;0.6000000000000001;0.4;0.3660149997115376;0.4;0.43852901558847923;0.0;0.0;0.0;0.0;0.3660149997115376;0.48300749985576874;0.0;0.4;0.6830074998557688;0.43852901558847923;0.6000000000000001;0.6830074998557688;0.0;0.3081136762725405;0.0;0.0;0.3081136762725405;0.43852901558847923;0.4;0.0;0.48300749985576874;0.0;0.0;0.3660149997115376;0.3081136762725405;0.3660149997115376;0.0;0.6000000000000001;0.0;0.4;0.43852901558847923;0.0;0.48300749985576874;0.0;0.43852901558847923;0.0;0.0;0.0;0.21862188087829626;0.4;0.0;0.4;0.0;0.0;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.0;0.0
GO:0046078;0.3660149997115376;0.0;0.2830074998557688;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.3660149997115376;0.0;0.3660149997115376;0.23852901558847928;0.3660149997115376;0.3081136762725405;0.0;1.0;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.0;0.3660149997115376;0.3660149997115376;0.3660149997115376;0.3660149997115376;0.3660149997115376;0.0;0.3660149997115376;0.0;0.3660149997115376;0.0;0.3660149997115376;0.3660149997115376;0.0;0.0;0.43852901558847923;0.2830074998557688;0.3660149997115376;0.0;0.0;0.0;0.3660149997115376;0.3660149997115376;0.0;0.0;0.3660149997115376;0.3356143810225276;0.3660149997115376;0.0;0.3660149997115376;0.0;0.0;0.2830074998557688;0.4;0.0;0.4;0.3660149997115376;0.3660149997115376;0.0;0.3356143810225276;0.0;0.3660149997115376;0.3660149997115376;0.0;0.3660149997115376;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.3660149997115376;0.3356143810225276;0.0;0.0;0.3660149997115376;0.0;0.2830074998557688;0.3660149997115376;0.3660149997115376;0.0;0.3660149997115376;0.3660149997115376;0.0;0.3081136762725405;0.3660149997115376;0.3660149997115376;0.2830074998557688;0.0;0.43852901558847923;0.0;0.3660149997115376;0.43852901558847923;0.3660149997115376;0.0;0.3081136762725405;0.0;0.3660149997115376;0.5356143810225276;0.0;0.0;0.3660149997115376;0.0;0.0;0.3660149997115376;0.3660149997115376;0.3660149997115376;0.0;0.3660149997115376;0.0;0.0;0.0;0.48300749985576874;0.0;0.3660149997115376;0.4;0.0;0.3660149997115376;0.3660149997115376;0.3660149997115376;0.0;0.3660149997115376;0.3660149997115376;0.3356143810225276;0.0;0.0;0.3660149997115376;0.0;0.0;0.3660149997115376;0.3660149997115376;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.3356143810225276;0.3081136762725405;0.0;0.0;0.5356143810225276;0.0;0.3660149997115376;0.0;0.4;0.0;0.0;0.3081136762725405;0.3660149997115376;0.0;0.6000000000000001;0.4;0.0;0.0;0.0;0.0;0.0;0.3660149997115376;0.2830074998557688;0.3660149997115376;0.4;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.3660149997115376;0.0;0.3660149997115376;0.3660149997115376;0.0;0.0;0.0;0.3660149997115376;0.0;0.4;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2830074998557688;0.0;0.43852901558847923;0.0;0.6830074998557688;0.3356143810225276;0.6830074998557688;0.20000000000000007;0.0;0.3660149997115376;0.0;0.3081136762725405;0.0;0.3660149997115376;0.0;0.0;0.0;0.2830074998557688
GO:0000070;0.5356143810225276;0.0;0.3356143810225276;0.8;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.8;0.5356143810225276;0.8;0.6000000000000001;0.0;0.3660149997115376;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.5356143810225276;0.8;0.8;0.8;0.0;0.6000000000000001;0.0;0.8;0.0;0.8;0.8;0.0;0.0;0.8;0.3356143810225276;0.4;0.0;0.0;0.0;0.8;0.8;0.0;0.0;0.8;0.48300749985576874;0.8;0.0;0.8;0.0;0.0;0.3356143810225276;0.6000000000000001;0.0;0.8;0.5356143810225276;0.8;0.0;0.0;0.0;0.8;0.8;0.0;0.8;0.0;0.0;0.8;0.0;0.0;0.0;0.8;0.4;0.0;0.0;0.8;0.0;0.5356143810225276;0.8;0.8;0.0;0.8;0.8;0.0;0.3660149997115376;0.8;0.8;0.3356143810225276;0.0;0.5356143810225276;0.0;0.8;0.5356143810225276;0.8;0.0;0.3660149997115376;0.0;0.8;0.8;0.0;0.0;0.8;0.0;0.0;0.8;0.8;0.8;0.0;0.8;0.0;0.0;0.0;0.5356143810225276;0.0;0.8;0.5356143810225276;0.0;0.8;0.8;0.8;0.0;0.8;0.8;0.6830074998557688;0.0;0.0;0.8;0.0;0.0;0.8;0.8;0.8;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.6830074998557688;0.0;0.0;0.6000000000000001;0.0;0.8;0.0;0.43852901558847923;0.0;0.0;0.3660149997115376;0.8;0.0;0.48300749985576874;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.8;0.3356143810225276;1.0;0.43852901558847923;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.8;0.8;0.0;0.0;0.0;0.8;0.0;0.43852901558847923;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.8;0.0;0.3356143810225276;0.6830074998557688;0.3356143810225276;0.3660149997115376;0.0;0.8;0.0;0.6000000000000001;0.0;0.8;0.0;0.0;0.0;0.3356143810225276
GO:0031100;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0
GO:0032436;0.0;0.0;0.0;0.0;0.3356143810225276;0.3660149997115376;0.2830074998557688;0.0;0.0;0.0;0.23852901558847928;0.0;0.0;0.3081136762725405;0.0;0.3356143810225276;0.0;0.0;0.0;1.0;0.3081136762725405;0.43852901558847923;0.48300749985576874;0.3660149997115376;0.0;0.0;0.3081136762725405;0.3356143810225276;0.0;0.3356143810225276;0.0;0.2830074998557688;0.0;0.3356143810225276;0.0;0.3356143810225276;0.3660149997115376;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3356143810225276;0.2830074998557688;0.3660149997115376;0.0;0.0;0.0;0.23852901558847928;0.0;0.3081136762725405;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.3081136762725405;0.3356143810225276;0.0;0.4;0.3660149997115376;0.0;0.4;0.0;0.3356143810225276;0.3081136762725405;0.0;0.3660149997115376;0.3356143810225276;0.4;0.0;0.0;0.0;0.43852901558847923;0.3081136762725405;0.3081136762725405;0.0;0.0;0.4;0.2830074998557688;0.3660149997115376;0.0;0.3660149997115376;0.0;0.0;0.3081136762725405;0.0;0.3356143810225276;0.0;0.3081136762725405;0.3081136762725405;0.0;0.3660149997115376;0.3081136762725405;0.0;0.3081136762725405;0.0;0.0;0.4;0.0;0.0;0.0;0.4;0.3081136762725405;0.3081136762725405;0.3081136762725405;0.3081136762725405;0.0;0.4;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.3081136762725405;0.3660149997115376;0.0;0.0;0.3081136762725405;0.0;0.0;0.4;0.3356143810225276;0.0;0.3081136762725405;0.6000000000000001;0.0;0.0;0.0;0.3660149997115376;0.43852901558847923;0.3356143810225276;0.43852901558847923;0.3660149997115376;0.0;0.0;0.0;0.3356143810225276;0.0;0.2830074998557688;0.3081136762725405;0.3081136762725405;0.0;0.3081136762725405;0.3356143810225276;0.0;0.0;0.3356143810225276;0.0;0.0;0.3081136762725405;0.3356143810225276;0.3081136762725405;0.2830074998557688;0.3660149997115376;0.0;0.0;0.0;0.0;0.3081136762725405;0.4;0.0;0.48300749985576874;0.3660149997115376;0.43852901558847923;0.3356143810225276;0.3660149997115376;0.0;0.3660149997115376;0.0;0.0;0.3081136762725405;0.5356143810225276;0.43852901558847923;0.0;0.3356143810225276;0.0;0.0;0.3081136762725405;0.21862188087829626;0.3356143810225276;0.0;0.3356143810225276;0.0;0.3356143810225276;0.43852901558847923;0.0;0.4;0.0;0.4;0.0;0.0;0.0;0.15041449731128298;0.3660149997115376;0.0;0.3356143810225276;0.0;0.0;0.3081136762725405;0.3081136762725405;0.3660149997115376;0.0;0.0
